luts_num,bits,fp_accuracy,quant_accuracy,accuracy_drop
200,FP32,74.97590361445783,74.97590361445783,0.0
200,32,74.97590361445783,74.96867469879518,0.007228915662649271
200,31,74.97590361445783,74.96867469879518,0.007228915662649271
200,30,74.97590361445783,74.96867469879518,0.007228915662649271
200,29,74.97590361445783,74.96867469879518,0.007228915662649271
200,28,74.97590361445783,74.96867469879518,0.007228915662649271
200,27,74.97590361445783,74.96807228915662,0.007831325301199676
200,26,74.97590361445783,74.95060240963855,0.02530120481927245
200,25,74.97590361445783,74.94698795180723,0.028915662650597085
200,24,74.97590361445783,74.9355421686747,0.0403614457831325
200,23,74.97590361445783,74.94698795180723,0.028915662650597085
200,22,74.97590361445783,74.9210843373494,0.05481927710843104
200,21,74.97590361445783,74.91867469879519,0.057228915662643765
200,20,74.97590361445783,74.94337349397591,0.03253012048192172
200,19,74.97590361445783,74.95963855421687,0.01626506024096086
200,18,74.97590361445783,74.95060240963855,0.02530120481927245
200,17,74.97590361445783,74.96265060240964,0.01325301204818663
200,16,74.97590361445783,74.91626506024096,0.05963855421686759
200,15,74.97590361445783,74.94277108433735,0.03313253012048323
200,14,74.97590361445783,74.9487951807229,0.027108433734934767
200,13,74.97590361445783,74.95843373493976,0.017469879518072773
200,12,74.97590361445783,74.92650602409638,0.04939759036144409
200,11,74.97590361445783,74.98192771084338,-0.006024096385548461
200,10,74.97590361445783,74.88915662650602,0.08674698795180236
200,9,74.97590361445783,74.83734939759036,0.13855421686747027
200,8,74.97590361445783,74.57710843373494,0.39879518072288844
200,7,74.97590361445783,74.11686746987952,0.8590361445783068
200,6,74.97590361445783,73.40481927710843,1.5710843373493932
200,5,74.97590361445783,72.38313253012049,2.592771084337342
200,4,74.97590361445783,56.48253012048193,18.493373493975895
200,3,74.97590361445783,39.422289156626505,35.55361445783132
150,FP32,74.7277108433735,74.7277108433735,0.0
150,32,74.7277108433735,74.73132530120482,-0.0036144578313246356
150,31,74.7277108433735,74.73132530120482,-0.0036144578313246356
150,30,74.7277108433735,74.73132530120482,-0.0036144578313246356
150,29,74.7277108433735,74.73132530120482,-0.0036144578313246356
150,28,74.7277108433735,74.73132530120482,-0.0036144578313246356
150,27,74.7277108433735,74.73132530120482,-0.0036144578313246356
150,26,74.7277108433735,74.72530120481927,0.0024096385542238252
150,25,74.7277108433735,74.7289156626506,-0.0012048192771119126
150,24,74.7277108433735,74.7487951807229,-0.02108433734939741
150,23,74.7277108433735,74.74036144578314,-0.012650602409636225
150,22,74.7277108433735,74.72831325301205,-0.0006024096385504052
150,21,74.7277108433735,74.73614457831326,-0.008433734939761184
150,20,74.7277108433735,74.73012048192771,-0.002409638554212723
150,19,74.7277108433735,74.71144578313253,0.01626506024096086
150,18,74.7277108433735,74.74759036144579,-0.019879518072285496
150,17,74.7277108433735,74.75301204819277,-0.02530120481927245
150,16,74.7277108433735,74.73253012048193,-0.004819277108436548
150,15,74.7277108433735,74.72831325301205,-0.0006024096385504052
150,14,74.7277108433735,74.71807228915662,0.009638554216873096
150,13,74.7277108433735,74.73795180722892,-0.010240963855423502
150,12,74.7277108433735,74.73975903614458,-0.01204819277108582
150,11,74.7277108433735,74.7367469879518,-0.009036144578311589
150,10,74.7277108433735,74.67590361445782,0.05180722891566791
150,9,74.7277108433735,74.63915662650602,0.08855421686747578
150,8,74.7277108433735,74.36506024096386,0.3626506024096421
150,7,74.7277108433735,73.82469879518072,0.903012048192775
150,6,74.7277108433735,73.5933734939759,1.1343373493975961
150,5,74.7277108433735,72.16385542168675,2.563855421686745
150,4,74.7277108433735,56.30421686746988,18.423493975903614
150,3,74.7277108433735,40.43072289156627,34.29698795180723
100,FP32,74.80903614457831,74.80903614457831,0.0
100,32,74.80903614457831,74.80722891566265,0.0018072289156623178
100,31,74.80903614457831,74.80722891566265,0.0018072289156623178
100,30,74.80903614457831,74.80722891566265,0.0018072289156623178
100,29,74.80903614457831,74.80722891566265,0.0018072289156623178
100,28,74.80903614457831,74.80722891566265,0.0018072289156623178
100,27,74.80903614457831,74.8078313253012,0.0012048192771119126
100,26,74.80903614457831,74.81024096385542,-0.0012048192771119126
100,25,74.80903614457831,74.7933734939759,0.015662650602410455
100,24,74.80903614457831,74.78915662650603,0.019879518072285496
100,23,74.80903614457831,74.78072289156627,0.02831325301204668
100,22,74.80903614457831,74.75301204819277,0.056024096385542954
100,21,74.80903614457831,74.77168674698795,0.03734939759035827
100,20,74.80903614457831,74.7933734939759,0.015662650602410455
100,19,74.80903614457831,74.79156626506024,0.017469879518072773
100,18,74.80903614457831,74.79939759036145,0.009638554216861994
100,17,74.80903614457831,74.8,0.009036144578311589
100,16,74.80903614457831,74.7867469879518,0.02228915662650932
100,15,74.80903614457831,74.80240963855421,0.006626506024098866
100,14,74.80903614457831,74.77590361445783,0.03313253012048323
100,13,74.80903614457831,74.7867469879518,0.02228915662650932
100,12,74.80903614457831,74.78313253012048,0.025903614457833957
100,11,74.80903614457831,74.77951807228915,0.029518072289158592
100,10,74.80903614457831,74.75361445783133,0.05542168674698145
100,9,74.80903614457831,74.7277108433735,0.0813253012048154
100,8,74.80903614457831,74.52168674698795,0.28734939759036404
100,7,74.80903614457831,74.41265060240964,0.3963855421686757
100,6,74.80903614457831,73.91987951807228,0.8891566265060269
100,5,74.80903614457831,72.07349397590362,2.7355421686746983
100,4,74.80903614457831,57.352409638554214,17.456626506024097
100,3,74.80903614457831,43.71144578313253,31.097590361445782
50,FP32,73.91927710843373,73.91927710843373,0.0
